village,plot_number,num_local_maxima,peak_gap,entropy,curvature,path_length,score_variance,cause
village_Vadnerbhairav,1821,360,0.017320780109506217,7.6309316890169505,1.9865562282233775,4,0.002597782338608546,Poor Optimization (stuck on boundary)
village_Malatavadi,520,358,0.003533615215508934,7.6020963202541125,1.89351897733209,4,0.007882642002742865,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,2312,375,0.018711372193413567,7.6216129499160425,2.840443708627514,4,0.00594978771137711,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,498,355,0.00675034045123335,7.642632406824534,2.0371339896894036,4,0.00047110675055074867,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,543,337,0.002107933771575643,7.642557204071535,2.1599204329731228,4,8.433133453158958e-05,Poor Image Evidence (weak/missing edges)
village_Malatavadi,1743,328,0.0015809939997860623,7.643334703528954,2.6825405843355994,4,0.0007217312026411013,Poor Scoring Function (ambiguous multiple peaks)
village_Malatavadi,553,337,0.0013025307399752717,7.6432928946252,2.03074803761864,4,4.996030671366868e-05,Poor Image Evidence (weak/missing edges)
village_Malatavadi,544,335,0.0015252827707906147,7.641849702174252,2.073223103345026,4,0.00010472449671662536,Poor Image Evidence (weak/missing edges)
village_Vadnerbhairav,840,355,0.017306757505934023,7.631081511213865,2.405440429262927,4,0.004461473942056074,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,846,360,0.011377051744389743,7.600660710037318,1.6937311238950663,4,0.014030607070076608,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,2218,354,0.012791166728186143,7.612821094337052,2.131295196552194,4,0.007237864367082353,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,1902,371,0.015025846541061982,7.60560669092699,2.1039471625360773,4,0.014062322246885152,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,1018,356,0.0014897450371205712,7.6399615566288,1.7448613192793498,4,0.0009426563216460374,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,863,370,0.0017353608552511668,7.640173921273762,2.1727345311044894,4,0.0010367603469358861,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,193,366,0.001128104478422376,7.63235562573135,1.6303058366013745,4,0.0029973419432561383,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,229,337,0.012801779094313293,7.64121988285296,2.2309251604444307,4,0.0005737532401771134,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,1012,377,0.0018630377760695538,7.634277048362626,1.7023450384559105,4,0.002562467136803793,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,1898,342,0.0048360911927927686,7.632842119675024,1.9190316592142844,4,0.0030490925648934313,Poor Optimization (stuck on boundary)
village_Malatavadi,526,345,0.0030150691826404397,7.639148791644958,2.2492982645813346,4,0.00027432852231075244,Poor Image Evidence (weak/missing edges)
village_Malatavadi,693,342,0.009329236046979328,7.642445077665219,2.180379128693757,4,0.000861898436862958,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,1368,364,0.0036331991179850975,7.635188219576011,2.159269881949249,4,0.002829829759422176,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,279,371,0.0015620631366862758,7.639521958875755,2.488209657822613,4,0.0011340850114498677,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,2267,349,0.0009777293385853092,7.641403391167286,1.6512083517877643,4,0.0009313485716276808,Poor Optimization (stuck on boundary)
village_Malatavadi,1735,332,0.008810898189617111,7.641282660498661,2.192300523944614,4,0.0017790776152192664,Poor Optimization (stuck on boundary)
village_Malatavadi,521,367,0.006311039289477738,7.621171634129638,2.00451039342931,4,0.0031114631499516124,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,2491,356,0.012221540772052397,7.634855600485215,2.045011278361298,4,0.0041030938344210136,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,1913,362,0.0007834068732553989,7.618240126193984,1.6749845149299085,4,0.005712240713066817,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,1986,362,0.003493473734528185,7.631103754565503,1.9526056267265017,4,0.002010470407764804,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,2165,355,0.004052692467965968,7.629288299544877,1.8217257999322056,4,0.004337018769608737,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,324,365,0.006184116491356029,7.639469976650155,2.155720318853586,4,0.0009770630429154013,Poor Optimization (stuck on boundary)
village_Vadnerbhairav,956,366,0.001370004441067385,7.625192764050727,1.9491194135119005,4,0.004204991479377141,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,513,350,0.0014369158346930755,7.642694277067374,1.8799502982078098,4,0.0003910252014254034,Poor Scoring Function (ambiguous multiple peaks)
village_Vadnerbhairav,250,349,0.004890368569712589,7.643554323008015,2.1732752324482836,4,0.0002555321089711763,Poor Scoring Function (ambiguous multiple peaks)
